date,act_symbol,expiration,strike,call_put,bid,ask,vol
2026-08-12,SPY,2026-08-25,540.00,Call,231.54,234.33,0.6786
2026-08-12,SPY,2026-08-25,540.00,Put,0.01,0.02,0.6079
2026-08-12,SPY,2026-08-25,580.00,Call,191.59,194.40,0.5587
2026-08-12,SPY,2026-08-25,580.00,Put,0.01,0.02,0.4944
2026-08-12,SPY,2026-08-25,620.00,Call,151.69,154.46,0.4540
2026-08-12,SPY,2026-08-25,620.00,Put,0.03,0.04,0.4075
2026-08-12,SPY,2026-08-25,635.00,Call,136.74,139.50,0.4200
2026-08-12,SPY,2026-08-25,635.00,Put,0.03,0.04,0.3667
2026-08-12,SPY,2026-08-25,655.00,Call,116.80,119.63,0.3458
2026-08-12,SPY,2026-08-25,655.00,Put,0.04,0.05,0.3215
2026-08-12,SPY,2026-08-25,675.00,Call,96.88,100.06,0.3317
2026-08-12,SPY,2026-08-25,675.00,Put,0.06,0.07,0.2791
2026-08-12,SPY,2026-08-25,695.00,Call,76.95,79.73,0.2496
2026-08-12,SPY,2026-08-25,695.00,Put,0.10,0.11,0.2381
2026-08-12,SPY,2026-08-25,711.00,Call,60.94,63.73,0.2168
2026-08-12,SPY,2026-08-25,711.00,Put,0.16,0.17,0.2051
2026-08-12,SPY,2026-08-25,726.00,Call,46.17,49.00,0.1817
2026-08-12,SPY,2026-08-25,726.00,Put,0.28,0.29,0.1754
2026-08-12,SPY,2026-08-25,742.00,Call,30.11,33.49,0.1469
2026-08-12,SPY,2026-08-25,742.00,Put,0.61,0.62,0.1448
2026-08-12,SPY,2026-08-25,749.00,Call,23.81,26.58,0.1361
2026-08-12,SPY,2026-08-25,749.00,Put,0.94,0.95,0.1326
2026-08-12,SPY,2026-08-25,757.00,Call,17.80,18.14,0.1210
2026-08-12,SPY,2026-08-25,757.00,Put,1.67,1.69,0.1201
2026-08-12,SPY,2026-08-25,765.00,Call,11.32,11.61,0.1115
2026-08-12,SPY,2026-08-25,765.00,Put,3.10,3.14,0.1092
2026-08-12,SPY,2026-08-25,772.00,Call,6.64,6.71,0.1024
2026-08-12,SPY,2026-08-25,772.00,Put,5.31,5.38,0.1017
2026-08-12,SPY,2026-08-25,780.00,Call,2.86,2.91,0.0958
2026-08-12,SPY,2026-08-25,780.00,Put,9.53,9.83,0.0967
2026-08-12,SPY,2026-08-25,788.00,Call,1.01,1.03,0.0933
2026-08-12,SPY,2026-08-25,788.00,Put,15.90,16.28,0.0980
2026-08-12,SPY,2026-08-25,796.00,Call,0.32,0.33,0.0951
2026-08-12,SPY,2026-08-25,796.00,Put,22.48,25.13,0.1202
2026-08-12,SPY,2026-08-25,803.00,Call,0.15,0.16,0.1023
2026-08-12,SPY,2026-08-25,803.00,Put,29.33,32.15,0.1429
2026-08-12,SPY,2026-08-25,820.00,Call,0.06,0.07,0.1316
2026-08-12,SPY,2026-08-25,820.00,Put,46.14,49.02,0.1930
2026-08-12,SPY,2026-08-25,835.00,Call,0.03,0.04,0.1552
2026-08-12,SPY,2026-08-25,835.00,Put,61.20,64.03,0.2460
2026-08-12,SPY,2026-08-25,850.00,Call,0.02,0.03,0.1807
2026-08-12,SPY,2026-08-25,850.00,Put,76.20,79.02,0.2905
2026-08-12,SPY,2026-08-25,870.00,Call,0.01,0.02,0.2153
2026-08-12,SPY,2026-08-25,870.00,Put,96.28,99.04,0.3511
2026-08-12,SPY,2026-08-25,890.00,Call,0.01,0.02,0.2527
2026-08-12,SPY,2026-08-25,890.00,Put,116.32,119.15,0.4008
2026-08-12,SPY,2026-08-25,910.00,Call,0.01,0.01,0.4512
2026-08-12,SPY,2026-08-25,910.00,Put,136.29,139.15,0.4512
2026-08-12,SPY,2026-08-25,925.00,Call,0.00,0.01,0.4885
2026-08-12,SPY,2026-08-25,925.00,Put,151.33,154.08,0.4867
2026-08-12,SPY,2026-08-25,950.00,Call,0.00,0.01,0.5304
2026-08-12,SPY,2026-08-25,950.00,Put,176.13,179.03,0.5527
2026-08-12,SPY,2026-09-11,540.00,Call,232.50,235.90,0.5018
2026-08-12,SPY,2026-09-11,540.00,Put,0.08,0.09,0.4611
2026-08-12,SPY,2026-09-11,580.00,Call,192.84,196.10,0.4421
2026-08-12,SPY,2026-09-11,580.00,Put,0.14,0.15,0.3994
2026-08-12,SPY,2026-09-11,620.00,Call,152.87,156.36,0.3540
2026-08-12,SPY,2026-09-11,620.00,Put,0.25,0.26,0.3383
2026-08-12,SPY,2026-09-11,635.00,Call,138.09,141.61,0.3296
2026-08-12,SPY,2026-09-11,635.00,Put,0.32,0.33,0.3165
2026-08-12,SPY,2026-09-11,655.00,Call,118.18,121.66,0.2960
2026-08-12,SPY,2026-09-11,655.00,Put,0.43,0.44,0.2849
2026-08-12,SPY,2026-09-11,675.00,Call,98.53,102.00,0.2622
2026-08-12,SPY,2026-09-11,675.00,Put,0.61,0.62,0.2546
2026-08-12,SPY,2026-09-11,695.00,Call,78.84,82.26,0.2318
2026-08-12,SPY,2026-09-11,695.00,Put,0.89,0.90,0.2239
2026-08-12,SPY,2026-09-11,711.00,Call,63.33,66.84,0.2055
2026-08-12,SPY,2026-09-11,711.00,Put,1.27,1.28,0.1998
2026-08-12,SPY,2026-09-11,726.00,Call,49.06,52.41,0.1839
2026-08-12,SPY,2026-09-11,726.00,Put,1.87,1.89,0.1782
2026-08-12,SPY,2026-09-11,742.00,Call,34.61,37.49,0.1611
2026-08-12,SPY,2026-09-11,742.00,Put,3.06,3.08,0.1565
2026-08-12,SPY,2026-09-11,749.00,Call,29.60,31.46,0.1623
2026-08-12,SPY,2026-09-11,749.00,Put,3.89,3.92,0.1474
2026-08-12,SPY,2026-09-11,757.00,Call,22.98,24.40,0.1481
2026-08-12,SPY,2026-09-11,757.00,Put,5.25,5.29,0.1380
2026-08-12,SPY,2026-09-11,765.00,Call,15.71,18.82,0.1337
2026-08-12,SPY,2026-09-11,765.00,Put,7.27,7.34,0.1294
2026-08-12,SPY,2026-09-11,772.00,Call,12.45,12.68,0.1252
2026-08-12,SPY,2026-09-11,772.00,Put,9.70,9.78,0.1231
2026-08-12,SPY,2026-09-11,780.00,Call,8.17,8.22,0.1187
2026-08-12,SPY,2026-09-11,780.00,Put,13.44,13.61,0.1174
2026-08-12,SPY,2026-09-11,788.00,Call,4.95,4.99,0.1142
2026-08-12,SPY,2026-09-11,788.00,Put,18.28,20.14,0.1245
